sku,description,qty_on_hand,last_movement_at,unit_price_gbp,distinct_customers
47580,TEA TIME DES TEA COSY,3,2010-12-01 14:32:00,3.80,1
48129,DOORMAT TOPIARY,14,2010-12-01 15:00:00,7.65,4
48185,DOORMAT FAIRY CAKE,10,2010-12-02 14:26:00,7.95,4
48187,DOORMAT NEW ENGLAND,39,2010-12-02 15:20:00,9.27,3
48194,DOORMAT HEARTS,77,2010-12-02 15:19:00,9.01,4
71053,WHITE METAL LANTERN,128,2010-12-03 11:28:00,3.92,2
71270,PHOTO CLIP LINE,4,2010-12-01 09:41:00,1.25,1
72802C,VANILLA SCENT CANDLE JEWELLED BOX,4,2010-12-01 17:35:00,4.25,2
79321,CHILLI LIGHTS,334,2010-12-03 10:43:00,5.54,9
82482,WOODEN PICTURE FRAME WHITE FINISH,96,2010-12-02 18:15:00,2.13,2
82483,WOOD 2 DRAWER CABINET WHITE FINISH,65,2010-12-03 11:35:00,5.16,5
82484,WOOD BLACK BOARD ANT WHITE FINISH,8,2010-12-03 11:27:00,8.23,3
82486,WOOD S/3 CABINET ANT WHITE FINISH,60,2010-12-02 18:15:00,7.17,5
82494L,WOODEN FRAME ANTIQUE WHITE,137,2010-12-02 19:59:00,2.69,8
82567,"AIRLINE LOUNGE,METAL SIGN",14,2010-12-02 15:55:00,2.10,2
82578,KITCHEN METAL SIGN,27,2010-12-02 16:42:00,0.84,3
82580,BATHROOM METAL SIGN,32,2010-12-03 11:28:00,0.97,3
82581,TOILET METAL SIGN,27,2010-12-03 11:28:00,0.73,3
84029E,RED WOOLLY HOTTIE WHITE HEART.,686,2010-12-02 16:46:00,3.73,11
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,211,2010-12-03 11:28:00,4.13,7
84030E,ENGLISH ROSE HOT WATER BOTTLE,29,2010-12-01 14:03:00,4.08,3
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-8886,2010-12-03 10:43:00,2.62,12
84375,SET OF 20 KIDS COOKIE CUTTERS,104,2010-12-03 11:28:00,2.80,6
84378,SET OF 3 HEART COOKIE CUTTERS,27,2010-12-02 16:12:00,1.75,3
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,25,2010-12-02 13:14:00,1.75,3
84406B,CREAM CUPID HEARTS COAT HANGER,125,2010-12-02 17:41:00,2.83,4
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,8,2010-12-02 11:41:00,5.04,2
84510A,SET OF 4 ENGLISH ROSE COASTERS,14,2010-12-02 11:41:00,1.67,2
84519A,TOMATO CHARLIE+LOLA COASTER SET,6,2010-12-01 09:37:00,2.95,1
84625A,PINK NEW BAROQUECANDLESTICK CANDLE,7,2010-12-03 11:35:00,3.69,3
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,16,2010-12-01 12:15:00,2.95,3
84709B,PINK OVAL JEWELLED MIRROR,1,2010-12-01 11:21:00,5.95,1
84744,S/6 SEW ON CROCHET FLOWERS,2,2010-12-01 17:35:00,1.25,2
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,140,2010-12-02 13:14:00,0.75,5
84832,ZINC WILLIE WINKIE  CANDLE STICK,26,2010-12-03 11:28:00,1.20,4
84854,GIRLY PINK TOOL SET,5,2010-12-01 09:41:00,4.95,1
84879,ASSORTED COLOUR BIRD ORNAMENT,727,2010-12-02 18:27:00,1.76,17
84880,WHITE WIRE EGG HOLDER,48,2010-12-02 17:40:00,4.95,1
84906,PINK B'FLY C/COVER W BOBBLES,1,2010-12-01 11:45:00,5.95,1
84949,SILVER HANGING T-LIGHT HOLDER,25,2010-12-02 13:32:00,1.99,4
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,8,2010-12-01 17:06:00,5.66,2
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,76,2010-12-02 11:41:00,1.12,6
84970S,HANGING HEART ZINC T-LIGHT HOLDER,171,2010-12-02 17:48:00,1.06,4
84971S,SMALL HEART FLOWERS HOOK,33,2010-12-02 11:41:00,1.12,2
84991,60 TEATIME FAIRY CAKE CASES,247,2010-12-03 11:35:00,0.62,8
84992,72 SWEETHEART FAIRY CAKE CASES,98,2010-12-02 11:41:00,0.79,4
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,28,2010-12-02 19:18:00,3.75,5
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,21,2010-12-02 11:57:00,3.75,4
85014A,BLACK/BLUE POLKADOT UMBRELLA,15,2010-12-02 19:18:00,5.95,6
85014B,RED RETROSPOT UMBRELLA,17,2010-12-02 17:48:00,7.30,4
85049A,TRADITIONAL CHRISTMAS RIBBONS,62,2010-12-03 11:35:00,1.39,8
85049C,ROMANTIC PINKS RIBBONS,19,2010-12-03 10:33:00,1.25,3
85049D,BRIGHT BLUES RIBBONS,17,2010-12-03 10:33:00,1.25,2
85049E,SCANDINAVIAN REDS RIBBONS,69,2010-12-03 10:33:00,1.46,8
85049G,CHOCOLATE BOX RIBBONS,33,2010-12-03 10:33:00,1.67,4
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,2010-12-01 09:37:00,0.38,1
85099B,JUMBO BAG RED RETROSPOT,611,2010-12-03 11:35:00,2.40,14
85099C,JUMBO  BAG BAROQUE BLACK WHITE,141,2010-12-01 15:37:00,1.89,5
85099F,JUMBO BAG STRAWBERRY,52,2010-12-02 15:00:00,2.52,3
85116,BLACK CANDELABRA T-LIGHT HOLDER,154,2010-12-02 15:20:00,1.52,3
85123A,WHITE HANGING HEART T-LIGHT HOLDER,769,2010-12-03 11:19:00,2.88,20
85150,LADIES & GENTLEMEN METAL SIGN,26,2010-12-02 11:22:00,3.18,3
85152,HAND OVER THE CHOCOLATE   SIGN,74,2010-12-03 11:28:00,2.80,4
85169B,BLACK LOVE BIRD CANDLE,36,2010-12-01 12:15:00,1.25,2
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,2010-12-01 09:37:00,1.25,1
90129F,RED GLASS TASSLE BAG CHARM,1,2010-12-01 11:45:00,2.95,1
90199C,5 STRAND GLASS NECKLACE CRYSTAL,6,2010-12-01 11:45:00,6.35,1
90210B,CLEAR ACRYLIC FACETED BANGLE,1,2010-12-01 11:45:00,2.95,1
D,Discount,-1,2010-12-01 09:41:00,27.50,1
POST,POSTAGE,12,2010-12-03 10:44:00,20.71,7
